,0,0.1,0.25,0.5,0.75,0.9,1.0,mean,host,protocol,start_time
0,600.949,600.949,600.949,600.949,600.949,600.949,600.949,600.949,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 01:43:17.318020000 EST"
1,601.0569999999999,601.0569999999999,601.0569999999999,601.0569999999999,601.0569999999999,601.0569999999999,601.0569999999999,601.0569999999999,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 06:46:41.451952000 EST"
2,590.1560000000001,590.1560000000001,590.1560000000001,590.1560000000001,590.1560000000001,590.1560000000001,590.1560000000001,590.1560000000001,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 02:21:37.512668000 EST"
3,580.6,580.6,580.6,580.6,580.6,580.6,580.6,580.6,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 17:31:45.911558000 EST"
4,590.318,590.318,590.318,590.318,590.318,590.318,590.318,590.318,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 09:23:05.944035000 EST"
5,596.491,596.491,596.491,596.491,596.491,596.491,596.491,596.491,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 08:30:51.792826000 EST"
6,598.694,598.694,598.694,598.694,598.694,598.694,598.694,598.694,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 17:22:04.730862000 EST"
7,590.63,590.63,590.63,590.63,590.63,590.63,590.63,590.63,mlcnetA.cs.wpi.edu,cubic,"Dec  8, 2020 08:00:40.040348000 EST"
8,599.401,599.401,599.401,599.401,599.401,599.401,599.401,599.401,mlcnetB.cs.wpi.edu,bbr,"Dec  7, 2020 23:39:13.994920000 EST"
9,580.389,580.389,580.389,580.389,580.389,580.389,580.389,580.389,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 06:01:09.299818000 EST"
10,584.185,584.185,584.185,584.185,584.185,584.185,584.185,584.185,mlcnetC.cs.wpi.edu,hybla,"Dec  7, 2020 10:29:51.538985000 EST"
11,597.1039999999999,597.1039999999999,597.1039999999999,597.1039999999999,597.1039999999999,597.1039999999999,597.1039999999999,597.1039999999999,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 11:03:12.723046000 EST"
12,577.985,577.985,577.985,577.985,577.985,577.985,577.985,577.985,mlcnetD.cs.wpi.edu,pcc,"Dec  7, 2020 16:59:38.986815000 EST"
13,582.9159999999999,582.9159999999999,582.9159999999999,582.9159999999999,582.9159999999999,582.9159999999999,582.9159999999999,582.9159999999999,mlcnetB.cs.wpi.edu,bbr,"Dec  8, 2020 04:52:38.659007000 EST"
14,580.3960000000001,580.3960000000001,580.3960000000001,580.3960000000001,580.3960000000001,580.3960000000001,580.3960000000001,580.3960000000001,mlcnetD.cs.wpi.edu,pcc,"Dec  8, 2020 05:26:30.119574000 EST"
